component_count,retained_linear_energy_fraction,method,quadrature_rank,cores,wall_seconds,timing_statistic,provenance
50,0.304478062579768,GL10,10,32,38.044754944,median of 3,cpp-gl-eta44-split-20260831T1030Z
50,0.304478062579768,GL6,6,32,11.408310528,median of 3,cpp-gl-eta44-split-20260831T1030Z
50,0.304478062579768,GL8,8,32,21.879896832,median of 3,cpp-gl-eta44-split-20260831T1030Z
50,0.304478062579768,WIT,NaN,32,0.765824,single measured run,mf12-gl-wit-runtime-20260830T214148Z
100,0.485715993668307,GL10,10,32,38.435296256,median of 3,cpp-gl-eta44-split-20260831T1030Z
100,0.485715993668307,GL6,6,32,11.242512896,median of 3,cpp-gl-eta44-split-20260831T1030Z
100,0.485715993668307,GL8,8,32,22.163253504,median of 3,cpp-gl-eta44-split-20260831T1030Z
100,0.485715993668307,WIT,NaN,32,6.76152,single measured run,mf12-gl-wit-runtime-20260830T214148Z
200,0.682842663034572,GL10,10,32,38.637445888,median of 3,cpp-gl-eta44-split-20260831T1030Z
200,0.682842663034572,GL6,6,32,11.048335872,median of 3,cpp-gl-eta44-split-20260831T1030Z
200,0.682842663034572,GL8,8,32,21.48432128,median of 3,cpp-gl-eta44-split-20260831T1030Z
200,0.682842663034572,WIT,NaN,32,96.4575,single measured run,mf12-gl-wit-runtime-20260830T214148Z
300,0.777454218796572,GL10,10,32,38.1965312,median of 3,cpp-gl-eta44-split-20260831T1030Z
300,0.777454218796572,GL6,6,32,11.307841536,median of 3,cpp-gl-eta44-split-20260831T1030Z
300,0.777454218796572,GL8,8,32,22.238649344,median of 3,cpp-gl-eta44-split-20260831T1030Z
300,0.777454218796572,WIT,NaN,32,476.281,single measured run,mf12-gl-wit-runtime-20260830T214148Z
400,0.833726284658719,GL10,10,32,38.531448064,median of 3,cpp-gl-eta44-split-20260831T1030Z
400,0.833726284658719,GL6,6,32,11.230899456,median of 3,cpp-gl-eta44-split-20260831T1030Z
400,0.833726284658719,GL8,8,32,21.81466624,median of 3,cpp-gl-eta44-split-20260831T1030Z
400,0.833726284658719,WIT,NaN,32,1491.09,single measured run,mf12-gl-wit-runtime-20260830T214148Z
500,0.872004051930505,GL10,10,32,38.360633856,median of 3,cpp-gl-eta44-split-20260831T1030Z
500,0.872004051930505,GL6,6,32,11.147826944,median of 3,cpp-gl-eta44-split-20260831T1030Z
500,0.872004051930505,GL8,8,32,22.484399104,median of 3,cpp-gl-eta44-split-20260831T1030Z
500,0.872004051930505,WIT,NaN,32,3614.69,single measured run,mf12-gl-wit-runtime-20260830T214148Z
600,0.899939136615393,GL10,10,32,38.5337216,median of 3,cpp-gl-eta44-split-20260831T1030Z
600,0.899939136615393,GL6,6,32,11.2503744,median of 3,cpp-gl-eta44-split-20260831T1030Z
600,0.899939136615393,GL8,8,32,22.154569984,median of 3,cpp-gl-eta44-split-20260831T1030Z
600,0.899939136615393,WIT,NaN,32,7502.55,single measured run,mf12-gl-wit-runtime-20260830T214148Z
800,0.938511812218329,WIT,NaN,32,21856.765945183,single measured run,wit-eta44-n0800-20260831T144500Z
1500,1,GL10,10,32,35.332300544,median of 3,cpp-gl-eta44-n1500-20260831T211004Z
1500,1,GL6,6,32,11.31350016,median of 3,cpp-gl-eta44-n1500-20260831T211004Z
1500,1,GL8,8,32,20.21097216,median of 3,cpp-gl-eta44-n1500-20260831T211004Z
