component_count,rank,wit_seconds,gl_seconds,wit_to_gl_wall_time_ratio
50,6,0.765824,11.408310528,0.0671286075287308
50,8,0.765824,21.879896832,0.0350012619291678
50,10,0.765824,38.044754944,0.0201295553388964
100,6,6.76152,11.242512896,0.601424260087413
100,8,6.76152,22.163253504,0.305077952511787
100,10,6.76152,38.435296256,0.175919549441341
200,6,96.4575,11.048335872,8.73050033213183
200,8,96.4575,21.48432128,4.48966940788553
200,10,96.4575,38.637445888,2.49647712945637
300,6,476.281,11.307841536,42.1195325813239
300,8,476.281,22.238649344,21.416813253027
300,10,476.281,38.1965312,12.4692212888693
400,6,1491.09,11.230899456,132.766748188045
400,8,1491.09,21.81466624,68.3526387062432
400,10,1491.09,38.531448064,38.6980005922261
500,6,3614.69,11.147826944,324.250638098172
500,8,3614.69,22.484399104,160.764358579498
500,10,3614.69,38.360633856,94.2291520408395
600,6,7502.55,11.2503744,666.871139861799
600,8,7502.55,22.154569984,338.645706299799
600,10,7502.55,38.5337216,194.700892840831
