order,variable,method,language,cores,component_count,retained_linear_energy_fraction,quadrature_rank,field_construction_seconds,end_to_end_seconds,peak_rss_kib,load_average_1m,percent_cpu,involuntary_context_switches,timing_quality,output_sha256
4,eta44,cpp_exact_wit,C++,32,50,0.30447806257976806,NaN,0.765824,1.509328384,681132,13.64,1006,1,review,576a28c4e058e1a501b5ba31290b118be67aa757897aaa22b5105a6533ffd8e4
4,eta44,gl_eta44,MATLAB,1,50,0.30447806257976806,6,110.368443,121.798153984,1848036,13.64,97.1,259,pass,8524b31f310b7454a31945955e6cbc67593ad201cd62cfe88c53e56b6ab3975e
4,eta44,gl_eta44,MATLAB,1,50,0.30447806257976806,8,240.959957,254.479584000,1848276,13.53,98.0,165,pass,42ede8c6852efbb050ba6bf563e6eec6ae99ddb5b1f0dd4837f7227f54b14dcc
4,eta44,gl_eta44,MATLAB,1,50,0.30447806257976806,10,432.553487,446.350639104,1849208,13.75,98.8,170,pass,84d40aeeffee25561b56951d173cca0ebc5184dca314b82f90d414e0109f6621
4,eta44,cpp_exact_wit,C++,32,100,0.48571599366830726,NaN,6.76152,7.450508544,695244,13.49,2617,13,pass,0d932992a018421e002b2a02697b96727b5b94cfb0e02fb467d0a0371e85bcd2
4,eta44,gl_eta44,MATLAB,1,100,0.48571599366830726,6,112.414901,126.390828544,1846736,16.02,96.0,172,pass,a56e55caf582094b973c466e77de274ad978d0ac01840b5115508848c29fc806
4,eta44,gl_eta44,MATLAB,1,100,0.48571599366830726,8,243.053993,257.243643648,1845232,13.69,97.9,193,pass,77275d3666950132265dcc0b10a3fcf6d5b656e645a13c0d404da7dc59e844fb
4,eta44,gl_eta44,MATLAB,1,100,0.48571599366830726,10,434.413402,448.434847488,1832200,13.52,98.8,146,pass,9cd31413813d4bc7587565ce3001559a6ece50a0afc9d1eb8add6874675c76e6
4,eta44,cpp_exact_wit,C++,32,200,0.6828426630345715,NaN,96.4575,97.123538944,1669068,12.97,2979,152,pass,a4392b2e49e281cdb932720c564847c14bba44ac393d90ae00c98e8a1f4dc334
4,eta44,gl_eta44,MATLAB,1,200,0.6828426630345715,6,113.151579,126.964295168,1829916,36.09,96.0,169,pass,150eb647cc5065b83777887d2bd4e182a49ff4ae82a6eadedb8f765c40bc1110
4,eta44,gl_eta44,MATLAB,1,200,0.6828426630345715,8,238.990441,252.874186752,1844912,16.18,98.0,163,pass,76793f5387a761b026744260eca00757fa9e05a193e9e3c32f398c9235f80150
4,eta44,gl_eta44,MATLAB,1,200,0.6828426630345715,10,439.133045,452.923903232,1845860,13.39,98.8,157,pass,2b5c199e5449636160f9a821b3b5d32308854cf772ffe429164635dbbb45a9d3
4,eta44,cpp_exact_wit,C++,32,300,0.7774542187965723,NaN,476.281,477.129164544,4808780,12.93,3011,506,pass,c8a8a09a21925b91af5a6b9b8618b83e28643699d015febff94bc04cd9bc9547
4,eta44,gl_eta44,MATLAB,1,300,0.7774542187965723,6,113.18856,127.732541440,1850876,38.81,95.8,159,pass,30d8c85a2eed083fbfb64a3daefd9d5cd01cb969b43d6eff793afb96376483db
4,eta44,gl_eta44,MATLAB,1,300,0.7774542187965723,8,239.16898,252.959971584,1847616,16.18,98.0,187,pass,d3602f12cddbb88738158cabd8edacbbb162206a84d21d331dcc371230dfb70f
4,eta44,gl_eta44,MATLAB,1,300,0.7774542187965723,10,435.949671,449.779352320,1844832,13.43,98.8,161,pass,26496971c4224997ea419b978533e11a791bc263d2dc8efa11c24a61da719aeb
4,eta44,cpp_exact_wit,C++,32,400,0.8337262846587187,NaN,1491.09,1491.816702720,17192080,13.15,3011,1364,pass,bb1cdddef700ee60ea595b17419003f92a3ad809921aee775ce554e7b1e6cb05
4,eta44,gl_eta44,MATLAB,1,400,0.8337262846587187,6,112.744373,126.997829632,1845644,34.29,95.8,292,pass,ee6b624f1425a6219a3a7cc41bdc6b8ec5660fc18cc6ee4aa6bd0e7fcb83448d
4,eta44,gl_eta44,MATLAB,1,400,0.8337262846587187,8,238.746603,252.455187712,1843264,16.55,98.0,176,pass,54e76412a2ac3cef32836ea22c75d52193fa9c946a86b96f49af2e41aea47960
4,eta44,gl_eta44,MATLAB,1,400,0.8337262846587187,10,439.372437,452.543693056,1847300,13.43,98.9,181,pass,0d4d5b30020880891ff5510b2547f54f0ac66bd58c4aad3ebf51b4d1582eea10
4,eta44,cpp_exact_wit,C++,32,500,0.8720040519305051,NaN,3614.69,3615.368754432,34189728,13.34,3016,2139,pass,11c62dc43095184a27224089b44ebdeb8e836b239d6072f45c28b684adde2ed9
4,eta44,gl_eta44,MATLAB,1,500,0.8720040519305051,6,112.631435,127.868697856,1840248,32.04,95.1,208,pass,442a9bfe6797d681da928ca9dfe08a58b4ce50921845c6308fd3d4422bed5799
4,eta44,gl_eta44,MATLAB,1,500,0.8720040519305051,8,238.451834,252.888927488,1855616,15.43,97.7,226,pass,5eb06fc58a96398ea04cf8988811e1fb182d1a3c0a09e76b72501eebae9bc8f2
4,eta44,gl_eta44,MATLAB,1,500,0.8720040519305051,10,436.05333,450.379818496,1854540,13.15,98.7,146,pass,2e2d27e4a2644c312f88aa2f340aefb5dc32d34ee63f3c39fee15a02c3930771
