component_count,rank,median_wall_seconds,minimum_wall_seconds,maximum_wall_seconds,median_cpu_busy_percent,repeat_coefficient_of_variation
50,6,11.408310528,11.234890752,11.752172544,8.389597,0.0229634927464632
50,8,21.879896832,21.866634752,21.888733184,8.406969,0.00050839287798521
50,10,38.044754944,37.947982336,38.452498688,8.798265,0.00701877353956846
100,6,11.242512896,11.230297856,11.344731136,8.805267,0.00557456958985948
100,8,22.163253504,21.660651008,22.37776896,8.763811,0.0166798073924567
100,10,38.435296256,38.382136064,38.466450432,8.403151,0.00110942986439373
200,6,11.048335872,11.026322176,11.444823296,8.36112,0.0210794665475069
200,8,21.48432128,20.963509504,22.332470272,8.411799,0.0319991797418705
200,10,38.637445888,38.131880704,38.792222976,8.802068,0.00896537909589751
300,6,11.307841536,11.005624064,11.514068736,8.396183,0.0226792816545315
300,8,22.238649344,21.940654848,22.296836864,8.363894,0.00862290446901982
300,10,38.1965312,38.181277184,38.274044416,8.84229,0.00130160781480273
400,6,11.230899456,10.800428288,11.348169216,8.532722,0.0259208921546033
400,8,21.81466624,21.32008576,22.206968832,8.461506,0.0204045757400745
400,10,38.531448064,38.453587712,38.965143808,8.419824,0.00713152262588767
500,6,11.147826944,10.964955648,11.228421632,8.78122,0.0121472283455197
500,8,22.484399104,22.35790848,22.55826432,8.36112,0.00450989885086615
500,10,38.360633856,37.337163008,38.729806592,8.825614,0.0189154777274235
600,6,11.2503744,10.972591616,11.284160768,8.800967,0.0153073014415331
600,8,22.154569984,21.942710784,22.21151872,8.377793,0.00640856786504244
600,10,38.5337216,37.93718912,38.93046784,8.809305,0.0129975102051441
