component_count,rank,repeat,max_workers,cpu_busy_percent,wall_seconds,merged_sha256
50,6,1,32,8.364940,11.752172544,2a762fc94afffeee0cf7398d0fa3286fefa4d170e661b31d7cc007d4e404802f
50,6,2,32,8.457338,11.408310528,67e94213f9e565c85fc992318fbdec6a7644d8a6b63eaea6af7ad066117919da
50,6,3,32,8.389597,11.234890752,d8125c43bc873695cbcc0615b5a2ce76f6fb69a239c1dff29787ba9e129a5758
50,8,1,32,8.359378,21.879896832,6b5dec8ed3399d090575c2d4ebf069119caf617051ae317dec516573a22f4f5d
50,8,2,32,8.795331,21.866634752,5e0bd8990749ac85c55ab3b22d577cf274120e2989d6c44dbae0fbcf194603ac
50,8,3,32,8.406969,21.888733184,bebb4863db25bd993c77b56cedebfc6d218a61ae88f4a548c7b17e01b58a86e7
50,10,1,32,8.798265,37.947982336,080c192db0c18ab204131439af3eeae8b37a9108f49dead045e3e04462a47d9e
50,10,2,32,8.431977,38.044754944,e63ecfa8611bd0d815013fafc0f42d427a3708ca2653050fc53f68803c09102a
50,10,3,32,8.877862,38.452498688,d6f2fe9f66294439338b249f05ff764bb471345d80453b23942bbfd9f0a5692b
100,6,1,32,8.863873,11.242512896,ba71106516ab6b0c13c3d37d23f000fa5a6bd375da9ab2fe301c03c319b64559
100,6,2,32,8.766883,11.230297856,93d5f48b59f26884d604d099dbf7cfae80c596edff0799749f6cc86f78fe2749
100,6,3,32,8.805267,11.344731136,47cbf8d83bae29547c36180eaebf81c42a0724610132a6f3faff01901dbb723e
100,8,1,32,8.792262,22.163253504,3329afb5ac215c8fcfcb6897fc6695a6f7a16ae78ac97b2d7f98478996931f08
100,8,2,32,8.368061,22.377768960,2689a3bbeb3f1a84e1ab63fc77a817fc983f2b12ca6cc60b358db9d64c26d849
100,8,3,32,8.763811,21.660651008,b6e9efac3c904b3cda9ddcb1ed22c41e0ef574ced4195a4c9a6b8933ccb11e3a
100,10,1,32,8.783192,38.466450432,bc33f2684004a3ad12f47eebdf39bd302c63025fbc707f7167947a24211f47c6
100,10,2,32,8.403151,38.435296256,84a0122da6aa5238de70289e31b4147fa290273d73e7463a36d9e329e263e2b1
100,10,3,32,8.377443,38.382136064,0dbbacec4541df72655b2731b146d730df8fcf482475681462ecb3647ab598d7
200,6,1,32,8.361120,11.026322176,eabbc3817b2da22433970a14cefebe03f0e29b450d568637917794ede4010245
200,6,2,32,8.356256,11.048335872,8917eb9f7383c5b24c5deb03fbd4aa35a10ce2b634e80951230048a9f8c3d1ff
200,6,3,32,8.417761,11.444823296,bf6ffea62daf5d38aeabe8e825c25633fdd58de4fd9706d434403781e359957c
200,8,1,32,8.411799,20.963509504,54196477eb931979911e702b2840fd5372562767267c0d6e4afdd131d9785688
200,8,2,32,8.837015,22.332470272,66b35c2fffdd485fff43e60322d65be5f8c1531b31a146cdb30a6bdfd83fd627
200,8,3,32,8.365288,21.484321280,0a877edb68219d5e6010d3622015dd4287ee19d691962f124c2f9279f7ca69ec
200,10,1,32,8.809305,38.637445888,14c2a5b1ea103cc1d09848756c64458a0a6306a50155c16a4fb39c3632b6adb0
200,10,2,32,8.373625,38.131880704,2f35b8ee4216fe9f70100cc9397fb8fe5141bb2ba157ab4164f544964a31dc82
200,10,3,32,8.802068,38.792222976,860b017c73acd64c8d8241d32b46ca8cf762414c21097447e87896220c3a2e01
300,6,1,32,8.465675,11.005624064,9a9fba202863fcce297a37e1751aad348df1e4d48909bc3f87ad559ba714e799
300,6,2,32,8.360075,11.307841536,2e3660e893a02e61ebec26bf207709b0809c608014ef494da83c5acc3da9748a
300,6,3,32,8.396183,11.514068736,e0feb9a16cbb420b84bdcf7a0c784c61053df880f4f3555bcf945b833a24fe7f
300,8,1,32,8.363894,22.296836864,0528872b4b720777c8fc905cb3130b6e6833a1b70a653e8c1c1e61963c137eb8
300,8,2,32,8.792996,21.940654848,b8436a12e1010c7c232bf47785d9a50fedd94e670933e104d1177c62d4798912
300,8,3,32,8.360772,22.238649344,03f84b5b6ab548745b6099e57b768bec4a650130c41228f5dde23b80588b4642
300,10,1,32,8.748593,38.274044416,73e22d465e491b871fa239d88b3c615932af7f16ebb5503b831ff91abca54dc1
300,10,2,32,8.842658,38.181277184,7b7c8f00c74982fa308822bbe95ac734c1352de3a0c407474f0f8e37eab65606
300,10,3,32,8.842290,38.196531200,16dd1fda5392e92db795d79f091bd2e3c65090a07231b5d0cb9c4d1fe7d61e46
400,6,1,32,8.532722,11.348169216,af026180850952df6511327d35a4360cb13988d2ef4628b10763570df0e5d171
400,6,2,32,8.633843,11.230899456,cb199eb78494911263373e29d5a7bd1ded990842a328bcb06a2ef066bb360101
400,6,3,32,8.416007,10.800428288,7d3ae38b948ebfcfb3291652e78bbec8a1f8e718e25caf44be847624bf0a441f
400,8,1,32,8.440665,21.814666240,d2d5891770f415a150f94c49af610543e667f253ea5a2fed04b3ada5e281127f
400,8,2,32,8.461506,22.206968832,1821f01e7359c2bb267797ae7230712aeac099d644270301319ca62302c11725
400,8,3,32,8.869152,21.320085760,ff200e58567245de48c8606abf429e4ae7af58bc39158736e718cf4b86e9af5e
400,10,1,32,8.411137,38.965143808,4c5a6ff25656710215c041da0c25135759db10e87a88118bbc9f9c5fbfc4a565
400,10,2,32,8.830151,38.453587712,b886f83e0661842f2be4471210ffac0ffe185a02ec067e7ccd1ce167f5c301cf
400,10,3,32,8.419824,38.531448064,1d48328edfeb87d96c1c0e826c730f0ce5b8d9eb8ff19a859b57090ee487c681
500,6,1,32,9.223969,11.147826944,11dc7c906413eef40dbde303ba651f2ec64c726055f658bb3c4f52bedeee213f
500,6,2,32,8.781220,10.964955648,1f8f54b0015d768f199faf5fefb2e395608be1fe727ef388e33c91953504c4b7
500,6,3,32,8.603585,11.228421632,deb2982b7d1092cbccf3a04272d983d48c18899da7e666b89bfe2ef17d56d207
500,8,1,32,9.137924,22.558264320,0cc5d49b0d36084800ed46853336d9a42da6e1ef02e8dc23be45860eb4c8f932
500,8,2,32,8.361120,22.357908480,12cec4c28ea1eddab49a602290d0044936e118ab80c7a19bd039aa2ce3dd9e5c
500,8,3,32,8.348616,22.484399104,e2ff28180cda4ba98f9855652db2dcfa66e348ee987c0a78bd0331330ebe80fd
500,10,1,32,8.872952,38.360633856,975d546febe21526ebcd86983505f24058bb57425997c25e944189335756740f
500,10,2,32,8.474718,37.337163008,4d8665c3ab907c4166f7fe549fb8e9a480c143903f256a449c8ed235c965fe19
500,10,3,32,8.825614,38.729806592,6cf778d57e09740b2564ccf4dab7ce9a33b72ee3628bbf955c4e805d049da101
600,6,1,32,8.507712,10.972591616,2797411561db602e31c3069ebd0abccb9a714f2c4a6884ae8a8d8f829deb7ef4
600,6,2,32,8.800967,11.250374400,94c385723af9b2935c689634eed34cb62e238f8e4c097761920c79ab9f4f04ad
600,6,3,32,8.816541,11.284160768,62bcb6c92b847bb722fdfabafbcd56384ff73a5cd50459741af6719e4acc2d41
600,8,1,32,8.825982,21.942710784,916e0cb146e39e493d65a4af48d6bc7bb0860eea76fc7fafb862bec0a8dc0c04
600,8,2,32,8.361469,22.211518720,9fc9ae24e043a21963754d11993ac3e6c4678b6e76a43db8403507e09f00a9c0
600,8,3,32,8.377793,22.154569984,0391b89ccc5c322d5ee87bdbceda3c00ff8c6ac5c5916339412335efc505bccc
600,10,1,32,8.809305,38.930467840,0ec0a9fbaf7d5630d1994889e4835c519d29aa7a8952ec9ab8b6d4bce8bc9657
600,10,2,32,8.356256,37.937189120,2b9a37455071da573329236454336d973ee405430a87131fa5657e19448e3295
600,10,3,32,8.858596,38.533721600,d3477131fa5a12d066121df94ce3c392130fe87568ce909e70e6ef38fe056bbc
