abs_kx_over_k0,abs_kx_depth,mf12_eta20_spectrum_scaled,gl12_eta20_spectrum_scaled,r2_eta20_spectrum_scaled,r4_eta20_spectrum_scaled,r6_eta20_spectrum_scaled
0,0,0.00634978509990586,0.00487878589776367,0.00626775408851628,0.006228565899383,0.00629582251876378
0.1,0.1,0.00608237527892917,0.0049914538063936,0.00593848734535573,0.00593812498061318,0.00601664204551448
0.2,0.2,0.00401559624759051,0.00367227211115984,0.00389386400384417,0.00388896168817803,0.00395693236175216
0.3,0.3,0.00227364900784831,0.0021644182867087,0.00220687123724415,0.00217936323844866,0.00222872501819504
0.4,0.4,0.00096578125062657,0.000930701956781277,0.000959332585138721,0.000905661472229779,0.000935462459175214
0.5,0.5,0.000102867318843702,9.20459420526016e-05,0.000144436950453452,7.04499988273533e-05,8.44390234915976e-05
0.6,0.6,0.000353248219975185,0.000356410030155365,0.000283022526382165,0.00036758601821577,0.000363840703088942
0.7,0.7,0.000477964248904813,0.000478890304933662,0.000396725538425849,0.000482724588311904,0.000484247741810108
0.8,0.8,0.000368415146348103,0.000368712423410403,0.000287638545468058,0.000369073485611759,0.000372605660488232
0.9,0.9,0.000137120276507947,0.000137230525446297,6.25509358487381e-05,0.00013651249478972,0.000140344261451272
1,1,7.87870934652482e-05,7.87400282084255e-05,0.00014494551736635,7.93756392076756e-05,7.60114329802332e-05
1.1,1.1,0.000206795825095528,0.000206773331831911,0.000264036419601087,0.000206840177695338,0.000204237706598902
1.2,1.2,0.000262440311624367,0.000262428572861148,0.000310987939991118,0.000261742396900982,0.00025998630170219
1.3,1.3,0.000278943295372518,0.000278936715703049,0.000319266290902289,0.000277481785676336,0.000276551829633701
1.4,1.4,0.000274275767771793,0.000274271850901769,0.000306856002006686,0.000272081559137672,0.000271930050624986
1.5,1.5,0.000253234278120376,0.00025323182126261,0.000278493452682383,0.000250326977154636,0.000250917410304462
1.6,1.6,0.000216862847948267,0.000216861238418457,0.000235178992723412,0.000213290656866383,0.000214576085809291
1.7,1.7,0.000164729257359493,0.000164728163522911,0.000176720937538722,0.000160566387969419,0.000162470625780976
1.8,1.8,0.000103581222945617,0.000103580457519679,0.000110379650624917,9.90594242350422e-05,0.000101391691111965
1.9,1.9,4.24013092787305e-05,4.24007613926181e-05,4.56473907974232e-05,3.78901156383545e-05,4.03588609322468e-05
2,2,1.04181794145017e-05,1.04185706387739e-05,8.96134672542635e-06,1.44612960539427e-05,1.21959977650186e-05
2.1,2.1,4.93551326869732e-05,4.93553994149323e-05,4.82062356698474e-05,5.25093038723294e-05,5.07447936437166e-05
2.2,2.2,6.89626663373386e-05,6.89628287612926e-05,6.73719368582269e-05,7.09993504639722e-05,6.98847422455073e-05
