abs_kx_over_k0,mf12_eta20_spectrum_scaled,gl6_eta20_spectrum_scaled,gl12_eta20_spectrum_scaled,gl16_eta20_spectrum_scaled
0,0.00634978509990586,0.00237910655761724,0.00487878589776367,0.00514125581958748
0.1,0.00608237527892917,0.00271906239619771,0.0049914538063936,0.00521408740192181
0.2,0.00401559624759051,0.00228701762351524,0.00367227211115984,0.00373541761814461
0.3,0.00227364900784831,0.00143320108314638,0.0021644182867087,0.0021879609438612
0.4,0.00096578125062657,0.000571928507915333,0.000930701956781277,0.000939239288575668
0.5,0.000102867318843702,7.51864660269647e-05,9.20459420526016e-05,9.4961042282625e-05
0.6,0.000353248219975185,0.000432413873423062,0.000356410030155365,0.00035547913233808
0.7,0.000477964248904813,0.000514206128823992,0.000478890304933662,0.000478592864976481
0.8,0.000368415146348103,0.000386301892465973,0.000368712423410403,0.000368610430643113
0.9,0.000137120276507947,0.000146804916598633,0.000137230525446297,0.000137189924233474
1,7.87870934652482e-05,7.3087158887397e-05,7.87400282084255e-05,7.87586123608156e-05
1.1,0.000206795825095528,0.000203213425720077,0.000206773331831911,0.000206782853982067
1.2,0.000262440311624367,0.000260071627472418,0.000262428572861148,0.000262433899921668
1.3,0.000278943295372518,0.00027731332259752,0.000278936715703049,0.000278939751307223
1.4,0.000274275767771793,0.000273117333191158,0.000274271850901769,0.000274273770749561
1.5,0.000253234278120376,0.000252389034705258,0.00025323182126261,0.000253233096620148
1.6,0.000216862847948267,0.000216234037486333,0.000216861238418457,0.000216862074574885
1.7,0.000164729257359493,0.000164254715639193,0.000164728163522911,0.000164728757333393
1.8,0.000103581222945617,0.000103220527345378,0.000103580457519679,0.000103580891554137
1.9,4.24013092787305e-05,4.21284856675573e-05,4.24007613926181e-05,4.24010644936695e-05
2,1.04181794145017e-05,1.06182871540308e-05,1.04185706387739e-05,1.04183483707539e-05
2.1,4.93551326869732e-05,4.94918675009802e-05,4.93553994149323e-05,4.93552521906384e-05
2.2,6.89626663373386e-05,6.90444258464819e-05,6.89628287612926e-05,6.89627365916026e-05
2.3,6.87039994822326e-05,6.8743606423563e-05,6.87040770449642e-05,6.87040414545853e-05
2.4,5.26516167872058e-05,5.2666249796712e-05,5.26516433865303e-05,5.26516335524354e-05
2.5,2.79154733574226e-05,2.79192989487354e-05,2.79154798072057e-05,2.79154774584153e-05
2.6,7.15706631928099e-06,7.15759749655634e-06,7.15706738332335e-06,7.15706699737238e-06
2.7,9.49910373275435e-20,4.72290742867361e-20,9.63958468515557e-20,6.72782545367925e-20
2.8,1.24555623919184e-19,3.4103956612198e-20,4.25791619348785e-20,4.76680610351598e-20
2.9,1.56623800639751e-19,9.09797262705583e-20,2.22330819533385e-19,1.19581002457619e-19
3,1.45170505804844e-19,8.81214369159365e-20,7.11890899352882e-20,6.41878663293431e-20
3.1,4.4270142028247e-19,9.17727190712284e-20,3.2130396361494e-19,1.11704496608842e-20
3.2,1.0842021724855e-19,2.24545622098935e-20,2.61749558916888e-19,4.4909124419787e-20
3.3,2.27665780713606e-19,6.33873119268157e-20,3.29487128970005e-19,2.27838752503893e-19
3.4,2.88586367477672e-19,7.40473980851133e-20,3.94643921776964e-20,1.6736020024361e-19
3.5,1.0534194936833e-19,1.17790750450627e-19,4.71256789636771e-20,2.06012361791209e-19
3.6,1.34059709867887e-19,6.18036625888089e-20,1.22318236289917e-19,1.19929487219e-20
3.7,1.1234342633737e-19,6.70072552543899e-20,5.76976160920822e-20,3.86104476289111e-20
3.8,6.37666041789058e-20,6.5777563863227e-20,7.65686356778668e-20,1.37445125307292e-19
3.9,1.38806409806113e-19,9.58562556884478e-20,1.17344247123191e-19,8.91936349945424e-20
4,1.90470732559201e-19,4.1202632493981e-20,2.00052903694934e-19,6.84108275711383e-20
4.1,5.23701514751574e-20,1.04843888879279e-19,1.56968496822918e-19,2.21701797470112e-19
4.2,2.34109009871704e-20,8.38995070451522e-20,2.44851172857411e-20,1.3686566431889e-19
4.3,1.8020943867996e-19,9.07959375225883e-20,1.15589301631766e-19,1.59070316220004e-19
4.4,7.49636121966782e-20,9.73444106980978e-20,5.85057331179522e-20,7.78999925256118e-20
4.5,1.23996684526126e-19,6.52653394617848e-20,7.42357213457456e-20,1.56031987486386e-19
4.6,2.28710227261702e-19,1.46054422700615e-19,1.5987894288648e-19,1.30174690943722e-19
4.7,2.21079516043101e-19,2.05193093785812e-20,1.42045529508131e-19,5.73068385489502e-20
4.8,1.09138905358132e-19,8.30081884214915e-20,9.67915515732968e-20,1.08095560039525e-19
4.9,3.74857481566227e-19,1.22072537017567e-19,1.22054350819173e-19,1.63549195240934e-19
5,1.4146316394825e-19,3.57061540873217e-20,9.0275376620323e-20,1.05227283611225e-19
5.1,2.00288297304177e-19,1.85014615557347e-20,1.51047632482692e-19,2.09721674915105e-19
5.2,5.9171177874227e-20,3.27417678714797e-20,1.35661584423941e-19,1.09071742867923e-19
5.3,7.49079097629251e-20,2.68942160879116e-20,9.90379399566298e-20,4.67686177820563e-20
5.4,9.26794947657092e-20,1.37172157444801e-19,1.55917026877041e-19,7.81395838663677e-20
5.5,1.3621750543236e-19,4.14900790813556e-20,1.35513927058779e-19,1.74434581982366e-19
5.6,5.37757573959466e-20,5.31479072176591e-20,4.39364988501184e-20,1.11811766357335e-19
5.7,1.19205767202216e-19,1.13591609218523e-19,2.14957310297098e-19,3.69628998557076e-20
5.8,2.19792508260389e-19,5.24267192416761e-20,1.01686163713986e-19,1.26119794190784e-19
