abs_kx_over_k0,mf12_eta20_spectrum_scaled,gl6_eta20_spectrum_scaled,gl12_eta20_spectrum_scaled,gl16_eta20_spectrum_scaled
0,0.00198262371172987,0.00214156976113801,0.00202278791083607,0.00200034183709523
0.1,0.00192023041904865,0.00204216449555217,0.00194341418185124,0.001928817243621
0.2,0.00190447912834028,0.00195409816888385,0.00190787679255566,0.00190512685997591
0.3,0.0018295184687421,0.00184975971636632,0.00183011730859578,0.00182958764912451
0.4,0.00169788832149281,0.00170671977988284,0.0016980264627877,0.00169789959060919
0.5,0.00151793451868223,0.00152209634834764,0.00151797318160623,0.00151793692422721
0.6,0.00130298067239745,0.00130511028920539,0.00130299293254062,0.00130298126096045
0.7,0.00106896453882301,0.00107016597014744,0.00106896899528429,0.00106896470612615
0.8,0.000832654986085245,0.000833408106212621,0.000832656933196631,0.000832655044794052
0.9,0.000613987259309202,0.000614505010419048,0.000613988288136242,0.000613987285560069
1,0.000441287915607434,0.000441668706874801,0.000441288545510471,0.000441287929880822
1.1,0.000323518966601587,0.000323811688235026,0.000323519391199705,0.000323518975427897
1.2,0.0002455917907306,0.000245823330722946,0.000245592094820771,0.000245591796646128
1.3,0.000190910630268494,0.000191096990249284,0.00019091085663808,0.000190910634443435
1.4,0.000150315780814659,0.000150467349982559,0.000150315953748461,0.000150315783865477
1.5,0.000119931455168046,0.000120055453012676,0.000119931589878963,0.000119931457457782
1.6,9.74078151615622e-05,9.75091109280985e-05,9.74079212726164e-05,9.74078169091276e-05
1.7,8.17322094928382e-05,8.18144747517364e-05,8.17322938019875e-05,8.17322108448177e-05
1.8,7.0686604333305e-05,7.07524095446985e-05,7.06866715666765e-05,7.0686605388e-05
1.9,6.24472764928426e-05,6.24986589674079e-05,6.24473300416835e-05,6.24472773213057e-05
2,5.52453061483808e-05,5.528375876549e-05,5.52453478102936e-05,5.52453067901048e-05
2.1,4.79246278927175e-05,4.79514076677107e-05,4.79246584413264e-05,4.79246283650951e-05
2.2,3.92781908505837e-05,3.92947255472006e-05,3.92782106044101e-05,3.92781911595169e-05
2.3,2.93907081646134e-05,2.93993695106078e-05,2.93907183754323e-05,2.93907083222805e-05
2.4,1.89989612742504e-05,1.900272363058e-05,1.89989652925477e-05,1.89989613326155e-05
2.5,9.09597501994732e-06,9.09721491734432e-06,9.09597619643719e-06,9.09597503790093e-06
2.6,2.20805078480656e-06,2.20828486034513e-06,2.20805099916588e-06,2.20805078910566e-06
2.7,1.08669579089273e-19,1.6942120716908e-19,5.0360027134181e-20,6.05712437731508e-20
2.8,5.046274990734e-20,3.00605406037137e-20,4.13978537790561e-20,7.58646318560861e-20
2.9,9.99027381828758e-21,4.09193258961803e-20,8.431920563004e-20,9.15172139758426e-20
3,3.28772450284669e-20,8.97071814059399e-20,6.05191634771368e-20,7.80156746489655e-20
3.1,2.55397422603435e-20,3.43887063023627e-20,8.51598143026151e-20,6.46050171366787e-20
3.2,1.00167219626363e-19,1.30874779458444e-19,5.42101086242752e-20,0
3.3,4.65340802639865e-20,6.36421147969173e-20,7.12069174459463e-20,8.0951770035044e-20
3.4,5.19697566399869e-20,9.95035907776673e-20,1.09761637519608e-19,5.98555969412682e-20
3.5,5.1306609246327e-20,4.40874035077662e-20,1.21736153424853e-19,1.2350396687145e-20
3.6,5.67789732598703e-20,1.92875446918508e-20,2.30145788257454e-20,4.70047103641763e-20
3.7,1.27382485834594e-19,2.10372243171526e-20,1.39572064647735e-19,1.5306046485126e-19
3.8,5.47607146439463e-20,9.35310027416706e-20,9.79799227891719e-20,4.90078876300032e-20
3.9,9.49002168095659e-20,6.81996896348248e-20,4.71324334750596e-20,7.38616590164746e-20
4,5.37639801326206e-20,1.02769600328284e-19,6.00810018421335e-20,1.18576154831809e-19
4.1,3.00008407816267e-20,4.40260773571799e-20,6.3626833381751e-20,6.33884473135955e-20
4.2,2.15510952986216e-20,7.04719195188329e-20,8.91264868218706e-20,1.05161522001771e-19
4.3,6.98250605311264e-20,1.17278651531319e-19,1.35956298914017e-19,1.03794909340223e-19
4.4,5.39514110039773e-20,2.8381662484637e-20,3.32189855423413e-20,6.11155931461577e-20
4.5,6.61720151883598e-20,3.98660762587739e-20,1.42382254090613e-19,9.84029180229789e-20
4.6,1.02683106218282e-19,1.04066342731357e-19,5.78829395191441e-20,1.06386699650462e-19
4.7,5.61101867393408e-20,2.644619664163e-20,3.83495240579715e-20,6.82027996975324e-20
4.8,8.2071402201908e-20,1.74547580567646e-20,7.17436587473614e-20,1.58422621095862e-19
4.9,7.61472512390704e-20,4.70201321719432e-20,7.93811441949695e-20,7.13068449176023e-20
5,7.62160447760198e-20,1.41551164234989e-19,6.8493337577198e-20,8.88446029011355e-20
5.1,6.8217929634388e-21,4.88766356004712e-20,1.09551480039734e-19,7.28634636241744e-20
5.2,1.22078577608395e-19,3.42611722919876e-20,5.9402319566148e-20,1.29522776086474e-19
5.3,4.7437406958493e-20,1.32331797960447e-19,1.1086680677897e-19,4.57074841919109e-20
5.4,1.53346593795809e-19,5.09981367285792e-20,1.01525594488812e-19,6.54467742242838e-20
5.5,1.1202143208159e-19,5.07546646394264e-20,1.0593849250756e-19,1.0642650266631e-19
5.6,6.97803965923051e-20,1.18182844022219e-19,3.74370942727841e-20,7.163150208404e-20
5.7,8.81359669839536e-20,6.91332918665287e-20,1.58083497685002e-19,1.12087226397956e-19
5.8,1.22350045951581e-19,5.07725425377473e-20,2.93434461202974e-20,4.71025047975254e-20
5.9,7.68032617326665e-20,1.69258554358419e-19,1.40780425479047e-19,9.20619735216143e-20
6,6.24740633120227e-20,1.47151501816298e-20,1.06831262514862e-19,4.08511574140122e-20
6.1,3.94848203775153e-20,7.29481769715142e-20,6.98904844603798e-20,1.38367440369835e-19
6.2,1.37127806455009e-19,8.03566009958657e-21,7.52906999125042e-20,2.46950418439443e-20
