method,excluded_k_over_k0_max,excluded_bin_count,reference_zero_mode_amplitude,candidate_zero_mode_amplitude,full_field_Q,Q_outside_excluded_region,error_energy_inside_fraction,reference_energy_inside_fraction
GL6,0,1,7.44462551297725e-23,1.19941188820189e-23,0.0397976580386296,0.0397976580386296,6.47052024747341e-33,2.98795442199953e-35
GL6,0.1,5,7.44462551297725e-23,1.19941188820189e-23,0.0397976580386296,0.0261797620438623,0.571008565578126,0.0137298964205548
GL6,0.2,13,7.44462551297725e-23,1.19941188820189e-23,0.0397976580386296,0.0142379454299641,0.875309137054524,0.0359119347059189
GL6,0.3,29,7.44462551297725e-23,1.19941188820189e-23,0.0397976580386296,0.00624142803995262,0.976736938622431,0.0678201680291357
GL6,0.5,81,7.44462551297725e-23,1.19941188820189e-23,0.0397976580386296,0.00134015095432668,0.998982991798077,0.118329546060568
GL6,1,317,7.44462551297725e-23,1.19941188820189e-23,0.0397976580386296,0.000119947437291219,0.999992117092211,0.147297061025843
GL12,0,1,7.44462551297725e-23,4.13590306276514e-23,0.0111961392956967,0.0111961392956967,1.18148671022529e-32,2.98795442199953e-35
GL12,0.1,5,7.44462551297725e-23,4.13590306276514e-23,0.0111961392956967,0.00454694804032957,0.836980100671616,0.0137298964205548
GL12,0.2,13,7.44462551297725e-23,4.13590306276514e-23,0.0111961392956967,0.00113239337349813,0.99010539957713,0.0359119347059189
GL12,0.3,29,7.44462551297725e-23,4.13590306276514e-23,0.0111961392956967,0.000219294565957946,0.999641080536325,0.0678201680291357
GL12,0.5,81,7.44462551297725e-23,4.13590306276514e-23,0.0111961392956967,1.54769750164067e-05,0.999998308950379,0.118329546060568
GL12,1,317,7.44462551297725e-23,4.13590306276514e-23,0.0111961392956967,2.28069204001823e-07,0.99999999964485,0.147297061025843
GL16,0,1,7.44462551297725e-23,3.30872245021211e-24,0.00501870075863546,0.00501870075863546,3.24013475535662e-31,2.98795442199953e-35
GL16,0.1,5,7.44462551297725e-23,3.30872245021211e-24,0.00501870075863546,0.00156186786611615,0.904376833048524,0.0137298964205548
GL16,0.2,13,7.44462551297725e-23,3.30872245021211e-24,0.00501870075863546,0.000234731293927136,0.997887964559992,0.0359119347059189
GL16,0.3,29,7.44462551297725e-23,3.30872245021211e-24,0.00501870075863546,2.81627505188711e-05,0.999970601596886,0.0678201680291357
GL16,0.5,81,7.44462551297725e-23,3.30872245021211e-24,0.00501870075863546,1.07820517067188e-06,0.999999959244397,0.118329546060568
GL16,1,317,7.44462551297725e-23,3.30872245021211e-24,0.00501870075863546,5.75279442038095e-09,0.999999999998884,0.147297061025843
