method,excluded_k_over_k0_max,excluded_bin_count,reference_zero_mode_amplitude,candidate_zero_mode_amplitude,full_field_Q,Q_outside_excluded_region,error_energy_inside_fraction,reference_energy_inside_fraction
GL6,0,1,6.61744490042422e-23,4.63221143029695e-23,0.128771874260812,0.128771874260812,5.7830510866851e-37,3.64792553183665e-37
GL6,0.1,5,6.61744490042422e-23,4.63221143029695e-23,0.128771874260812,0.101469984343902,0.409228469344855,0.0729191278082635
GL6,0.2,13,6.61744490042422e-23,4.63221143029695e-23,0.128771874260812,0.0702440821612736,0.746055103922219,0.19673034886279
GL6,0.3,29,6.61744490042422e-23,4.63221143029695e-23,0.128771874260812,0.0416251242046541,0.927809452097,0.37367027398811
GL6,0.5,81,6.61744490042422e-23,4.63221143029695e-23,0.128771874260812,0.0127707209266894,0.995996140165816,0.64608316903116
GL6,1,317,6.61744490042422e-23,4.63221143029695e-23,0.128771874260812,0.000596953709629019,0.999995516523945,0.821393285455665
GL12,0,1,6.61744490042422e-23,3.04402465419514e-22,0.0492470955492865,0.0492470955492865,1.2390738646285e-33,3.64792553183665e-37
GL12,0.1,5,6.61744490042422e-23,3.04402465419514e-22,0.0492470955492865,0.0314674722069096,0.615423338639818,0.0729191278082635
GL12,0.2,13,6.61744490042422e-23,3.04402465419514e-22,0.0492470955492865,0.0152966817313569,0.92004424403375,0.19673034886279
GL12,0.3,29,6.61744490042422e-23,3.04402465419514e-22,0.0492470955492865,0.00611139074731651,0.989942460849897,0.37367027398811
GL12,0.5,81,6.61744490042422e-23,3.04402465419514e-22,0.0492470955492865,0.000956062783729805,0.999859991586433,0.64608316903116
GL12,1,317,6.61744490042422e-23,3.04402465419514e-22,0.0492470955492865,6.49148165014506e-06,0.999999996739236,0.821393285455665
GL16,0,1,6.61744490042422e-23,6.61744490042422e-23,0.0399235828219753,0.0399235828219753,2.38363183427815e-34,3.64792553183665e-37
GL16,0.1,5,6.61744490042422e-23,6.61744490042422e-23,0.0399235828219753,0.0262212683110368,0.59495885121366,0.0729191278082635
GL16,0.2,13,6.61744490042422e-23,6.61744490042422e-23,0.0399235828219753,0.0126418030969751,0.917360339196467,0.19673034886279
GL16,0.3,29,6.61744490042422e-23,6.61744490042422e-23,0.0399235828219753,0.00485887810603756,0.990396036931718,0.37367027398811
GL16,0.5,81,6.61744490042422e-23,6.61744490042422e-23,0.0399235828219753,0.000712295685119994,0.999882758929355,0.64608316903116
GL16,1,317,6.61744490042422e-23,6.61744490042422e-23,0.0399235828219753,3.12657245054516e-06,0.999999998859154,0.821393285455665
