kph,case_id,case_label,J,raw_relative_l2,raw_relative_l2_pct,raw_relative_linf,low_output_relative_l2_pct,resolved_output_relative_l2_pct,norm_ratio,fft_ifft_count,pointwise_product_count,matlab_release
1,single_s30,"One system, 30 deg spreading",1,0.405686069540603,40.5686069540603,0.408347354537829,0.00231175000851322,40.5686068881942,0.596722498726804,15,8,2022b
1,single_s30,"One system, 30 deg spreading",2,0.139299078265031,13.9299078265031,0.153256822205568,0.00129706006092568,13.9299077661163,0.864136536220705,25,15,2022b
1,single_s30,"One system, 30 deg spreading",3,0.0488054322248023,4.88054322248023,0.0583576163222672,0.00111531068661569,4.8805430950438,0.954766488020244,35,22,2022b
1,single_s30,"One system, 30 deg spreading",4,0.0183217095544408,1.83217095544408,0.0229266617496743,0.00108695853960933,1.83217063301811,0.984572290318225,45,29,2022b
1,single_s30,"One system, 30 deg spreading",5,0.00747692479854358,0.747692479854358,0.00932037213848839,0.00108259626911538,0.747691696099454,0.994543105512349,55,36,2022b
1,single_s30,"One system, 30 deg spreading",6,0.00331163363952011,0.331163363952011,0.00392468538043867,0.00108191893586913,0.331161596619276,0.997986856768912,65,43,2022b
1,single_s30,"One system, 30 deg spreading",7,0.00157975617915156,0.157975617915156,0.00171395750932526,0.00108181195312498,0.15797191376499,0.999223255543662,75,50,2022b
1,single_s30,"One system, 30 deg spreading",8,0.000804735480196906,0.0804735480196906,0.000778135521560042,0.00108179470027124,0.0804662764834059,0.999686268857776,85,57,2022b
1,single_s30,"One system, 30 deg spreading",9,0.000434084370347025,0.0434084370347025,0.000368681324932778,0.00108179185315355,0.0433949551466779,0.999867315365358,95,64,2022b
1,single_s30,"One system, 30 deg spreading",10,0.000245793540355762,0.0245793540355762,0.000182551425009481,0.00108179137155931,0.02455553648843,0.999941357800876,105,71,2022b
1,single_s30,"One system, 30 deg spreading",11,0.000145135181947139,0.0145135181947139,9.52784165698541e-05,0.00108179128793138,0.0144731454078803,0.999972871650606,115,78,2022b
