inner_rank_J2,outer_rank_J3,surface_similarity_Q,physical_raw_relative_l2_pct,physical_raw_relative_linf_pct,gl_over_mf12_norm_ratio,diagonal_correction_applied,fft_ifft_count,pointwise_product_count,elapsed_seconds,pareto_nondominated
4,4,0.0694109701628945,13.1741759060397,14.1899803103795,0.897996220931995,0,408,538,2.7680581,1
6,4,0.055882838003041,10.6873425376075,12.1874139404851,0.912455222303844,0,536,682,2.3604334,1
8,4,0.0456451999452918,8.78607061365532,10.444441197866,0.924861896581875,0,664,826,2.7704142,1
10,4,0.0396739631635679,7.66769471613971,9.33123039181664,0.9326767745706,0,792,970,3.0909512,1
12,4,0.0363848983459771,7.04846080373467,8.67416206435971,0.937194034929601,0,920,1114,3.7416852,0
6,6,0.034669834252095,6.75935462296502,7.40380333174463,0.949635690155216,0,798,996,3.3373297,1
8,6,0.0238177510472221,4.67551734651893,5.55382106956739,0.963038969233089,0,990,1212,3.9589252,1
10,6,0.0175128765171398,3.45266595370394,4.36713726478479,0.97150134092753,0,1182,1428,4.665368,1
12,6,0.0140761080022887,2.78200788191976,3.66419432328675,0.976404188904644,0,1374,1644,5.4467218,1
8,8,0.0175181206522072,3.45957794036429,3.828689878584,0.97485678346918,0,1316,1598,5.3564486,0
10,8,0.0109408428963463,2.17015182026001,2.61482770323661,0.983532567664178,0,1572,1886,6.038886,1
12,8,0.00732905417103762,1.45743055435278,1.89459763810242,0.988565673470031,0,1828,2174,7.4674436,1
10,10,0.00909163678179033,1.80657279993617,2.01859050210739,0.987071022848777,0,1962,2344,8.1474411,0
12,3,0.0613834564577776,11.6368694617708,13.5920560715935,0.895766405688678,0,693,849,2.798397,0
