x_over_lambda_p,mf12_m3000_psi33_hat,gl6_psi33_hat,difference_pct_of_mf12_peak
-4,0,-3.1424368122905e-14,-4.83555754563664e-12
-3.984375,-4.06011962368309e-07,-4.24591129818703e-07,-2.85894796690968e-06
-3.96875,-8.06927151224933e-07,-8.48466283535733e-07,-6.39200966266299e-06
-3.953125,-1.19891973017748e-06,-1.271186242904e-06,-1.11203152771381e-05
-3.9375,-1.58035884138685e-06,-1.69276324821596e-06,-1.72967034843611e-05
-3.921875,-1.95217900283969e-06,-2.11369438897505e-06,-2.48538631264946e-05
-3.90625,-2.31767664934348e-06,-2.53488023736107e-06,-3.34231207090615e-05
-3.890625,-2.68184699925072e-06,-2.95747841231711e-06,-4.24139493928662e-05
-3.875,-3.05042815260432e-06,-3.38272899723184e-06,-5.1134197842114e-05
-3.859375,-3.4288200135172e-06,-3.81177162308346e-06,-5.89282985105463e-05
-3.84375,-3.82103213321936e-06,-4.24546272404652e-06,-6.53110521760135e-05
-3.828125,-4.2288095320688e-06,-4.6841932574378e-06,-7.00740966614116e-05
-3.8125,-4.65109723508559e-06,-5.12771613546879e-06,-7.33417490250535e-05
-3.796875,-5.08401371367728e-06,-5.57503297710964e-06,-7.55576657916201e-05
-3.78125,-5.52145539500658e-06,-6.02443165553908e-06,-7.73975992892371e-05
-3.765625,-5.95630153538701e-06,-6.47374684103431e-06,-7.96240847991236e-05
-3.75,-6.38196643787024e-06,-6.92081631341568e-06,-8.29178035169422e-05
-3.734375,-6.79388021663277e-06,-7.3639933836554e-06,-8.77285747124898e-05
-3.71875,-7.19048807117205e-06,-7.80254263529614e-06,-9.41824845710837e-05
-3.703125,-7.57354159624642e-06,-8.23681348205258e-06,-0.000102063766554492
-3.6875,-7.9476969818862e-06,-8.66818909169773e-06,-0.000110868770520524
-3.671875,-8.31960520217869e-06,-9.09887256004612e-06,-0.000119913060388876
-3.65625,-8.69673060926141e-06,-9.53157872554163e-06,-0.00012846578465318
-3.640625,-9.08610159084174e-06,-9.96917482335041e-06,-0.000135886628367702
-3.625,-9.49314387288263e-06,-1.04142861624948e-05,-0.000141744665532117
-3.609375,-9.92072407382745e-06,-1.08688764646762e-05,-0.000145900959091684
-3.59375,-1.03685537400601e-05,-1.13338451682778e-05,-0.00014853830095169
-3.578125,-1.08331350271702e-05,-1.18087485695001e-05,-0.000150126659915244
-3.5625,-1.13083879482812e-05,-1.22917908610729e-05,-0.000151325282238043
-3.546875,-1.17869296889888e-05,-1.27801747300425e-05,-0.000152839781348943
-3.53125,-1.22617270934633e-05,-1.3270748853631e-05,-0.0001552674907259
-3.515625,-1.27276599154982e-05,-1.37607384324174e-05,-0.000158969325912473
-3.5,-1.31825443314955e-05,-1.42483082409331e-05,-0.000163998928920123
-3.484375,-1.36273726837529e-05,-1.47328071755922e-05,-0.000170103407563014
-3.46875,-1.40657987985815e-05,-1.5214694000428e-05,-0.000176791108120504
-3.453125,-1.45030951419071e-05,-1.56952427541907e-05,-0.000183446755700681
-3.4375,-1.49448711832499e-05,-1.61761387322212e-05,-0.000189466501405518
-3.421875,-1.53958093862168e-05,-1.66590403948129e-05,-0.000194385013935941
-3.40625,-1.58586189037352e-05,-1.71451544840619e-05,-0.000197971103471261
-3.390625,-1.63333739806248e-05,-1.76348784324078e-05,-0.000200274501873332
-3.375,-1.68173881407225e-05,-1.81275952246946e-05,-0.000201613656206821
-3.359375,-1.73057266138721e-05,-1.86217218320053e-05,-0.000202504329830183
-3.34375,-1.77923282719308e-05,-1.91150677688501e-05,-0.000203542134251466
-3.328125,-1.82715054433504e-05,-1.96054443524428e-05,-0.000205265491164431
-3.3125,-1.87394104640732e-05,-2.00913319556414e-05,-0.000208032637095301
-3.296875,-1.91950233046058e-05,-2.05723548313281e-05,-0.000211942713719376
-3.28125,-1.96403708089972e-05,-2.10493849228004e-05,-0.000216818005799253
-3.265625,-2.00799568840545e-05,-2.15242576021036e-05,-0.000222247881262572
-3.25,-2.05196217390877e-05,-2.1999230319839e-05,-0.000227681027960774
-3.234375,-2.09651585870949e-05,-2.2476370858294e-05,-0.000232544179487544
-3.21875,-2.14209997540795e-05,-2.29570270908483e-05,-0.000236362702650586
-3.203125,-2.18892090181426e-05,-2.34414648667011e-05,-0.000238859933536256
-3.1875,-2.23689455401458e-05,-2.39287183652476e-05,-0.000240016640092841
-3.171875,-2.28565094975038e-05,-2.4416684298663e-05,-0.000240078495858705
-3.15625,-2.33460094762194e-05,-2.49024759715187e-05,-0.000239507864611264
-3.140625,-2.38305719553869e-05,-2.53830033988129e-05,-0.000238886953939105
-3.125,-2.43038502617105e-05,-2.58556624386753e-05,-0.000238791661693386
-3.109375,-2.4761450579805e-05,-2.6318941088299e-05,-0.000239665438972376
-3.09375,-2.52018689058637e-05,-2.67727425566649e-05,-0.000241724826595214
-3.078125,-2.56266721217239e-05,-2.72183108978549e-05,-0.000244920148075731
-3.0625,-2.60399082692684e-05,-2.76577935319911e-05,-0.000248958937202324
-3.046875,-2.6446973415723e-05,-2.80936078341126e-05,-0.000253382835117221
-3.03125,-2.68532873308894e-05,-2.85278274059803e-05,-0.000257676936061429
-3.015625,-2.72631136959912e-05,-2.89617568223941e-05,-0.000261385895019303
-3,-2.76787577906135e-05,-2.93957685236258e-05,-0.000264212288167054
-2.984375,-2.81002579335895e-05,-2.98293922622162e-05,-0.000266077857715639
-2.96875,-2.85255920744372e-05,-3.02616037684538e-05,-0.000267136141400937
-2.953125,-2.89513410270396e-05,-3.06912415809863e-05,-0.000267734556169552
-2.9375,-2.93736670895099e-05,-3.111746329672e-05,-0.00026833401629105
-2.921875,-2.97893853177063e-05,-3.1540130383559e-05,-0.000269403301302954
-2.90625,-3.01968584651405e-05,-3.19600080275181e-05,-0.000271312095667143
-2.890625,-3.05964767664792e-05,-3.23787094270338e-05,-0.00027424858810583
-2.875,-3.09906015143863e-05,-3.27983985790832e-05,-0.000278182418910856
-2.859375,-3.13830167874551e-05,-3.32213524333978e-05,-0.000282881672254584
-2.84375,-3.1778074251103e-05,-3.36495259899611e-05,-0.000287977551107356
-2.828125,-3.21797747469741e-05,-3.40842446825267e-05,-0.000293058365765103
-2.8125,-3.25910023173072e-05,-3.45260870273801e-05,-0.000297769343671184
-2.796875,-3.30130509050095e-05,-3.49749533745113e-05,-0.000301896039821643
-2.78125,-3.34455060494258e-05,-3.54302703219454e-05,-0.000305413996448721
-2.765625,-3.38864818742437e-05,-3.5891262144656e-05,-0.000308494042776619
-2.75,-3.43331604602561e-05,-3.63572239430603e-05,-0.000311461328636467
-2.734375,-3.47825268475821e-05,-3.68277450200292e-05,-0.000314716595973204
-2.71875,-3.52321449857805e-05,-3.7302846934971e-05,-0.000318638019896234
-2.703125,-3.56807991005871e-05,-3.7783017936835e-05,-0.000323487814184196
-2.6875,-3.612884991748e-05,-3.82691479731616e-05,-0.000329347415120142
-2.671875,-3.65782250424595e-05,-3.87623941065432e-05,-0.000336098252078387
-2.65625,-3.70320537416577e-05,-3.92640213851895e-05,-0.000343453460641902
-2.640625,-3.74940362601762e-05,-3.97752563551333e-05,-0.000351032389904679
-2.625,-3.79676864646888e-05,-4.02971659932244e-05,-0.000358458514346588
-2.609375,-3.84556032905115e-05,-4.08305574094062e-05,-0.000365456109260361
-2.59375,-3.89589197400559e-05,-4.13758982493379e-05,-0.000371922790061805
-2.578125,-3.94770516936901e-05,-4.19332731477146e-05,-0.000377961464151317
-2.5625,-4.00078196946358e-05,-4.25023950769069e-05,-0.000383863337067637
-2.546875,-4.05479453967671e-05,-4.30826764057625e-05,-0.000390042453957037
-2.53125,-4.10938410588548e-05,-4.36733491354759e-05,-0.000396932714610228
-2.515625,-4.16425339604105e-05,-4.42736207035687e-05,-0.000404869600061409
-2.5,-4.21925183893917e-05,-4.4882853300972e-05,-0.000413986662551203
-2.484375,-4.27443237644717e-05,-4.55007448790616e-05,-0.000424155956532733
-2.46875,-4.33006390083844e-05,-4.61274705536042e-05,-0.000434990659327467
-2.453125,-4.38659364587266e-05,-4.67637363040765e-05,-0.000445911206650897
-2.4375,-4.44456693541432e-05,-4.74107209049124e-05,-0.000456259847244889
-2.421875,-4.50452338213792e-05,-4.80699269367201e-05,-0.00046543744523096
-2.40625,-4.56689440582264e-05,-4.8742993020545e-05,-0.000473032284921643
-2.390625,-4.63192418044703e-05,-4.94315069659037e-05,-0.000478912964185328
-2.375,-4.69962635408311e-05,-5.01368079633642e-05,-0.000483264555086411
-2.359375,-4.76977794188351e-05,-5.0859721095288e-05,-0.000486557148027122
-2.34375,-4.84194615918817e-05,-5.16001864851171e-05,-0.000489447494947976
-2.328125,-4.91554526160985e-05,-5.23568451291292e-05,-0.000492627812351997
-2.3125,-4.98992338079737e-05,-5.31267688523658e-05,-0.000496650604927874
-2.296875,-5.06447644511958e-05,-5.39055747773325e-05,-0.000501770979634987
-2.28125,-5.13877589781348e-05,-5.46880820523041e-05,-0.000507851170846785
-2.265625,-5.21268601780017e-05,-5.54694825348116e-05,-0.000514360151856304
-2.25,-5.28644470904415e-05,-5.6246814482742e-05,-0.000520476087283116
-2.234375,-5.36069125256035e-05,-5.70204391772382e-05,-0.000525270850092693
-2.21875,-5.43643796126623e-05,-5.77952205593541e-05,-0.000527935160470661
-2.203125,-5.51498846213521e-05,-5.85811164523191e-05,-0.000527995309441642
-2.1875,-5.59779995775155e-05,-5.93928576738314e-05,-0.000525475731773998
