x_over_lambda_p,mf12_phi_s33_scaled,pure_gl6_phi_s33_scaled,pure_gl8_phi_s33_scaled,pure_gl10_phi_s33_scaled,pure_gl6_difference_pct_of_mf12_peak,pure_gl8_difference_pct_of_mf12_peak,pure_gl10_difference_pct_of_mf12_peak
-4,0,-3.14703044270498e-14,-5.31553490215677e-14,-6.35693708037347e-17,-4.84262618871189e-12,-8.17950413662701e-12,-9.78200578159967e-15
-3.984375,-4.06011962368309e-07,-3.77758114463539e-07,-3.88768208624064e-07,-3.95978625304431e-07,4.34768033822762e-06,2.65345553511097e-06,1.54392217394455e-06
-3.96875,-8.06927151224933e-07,-7.55147378481315e-07,-7.75759759843001e-07,-7.89044035314478e-07,7.96783151923575e-06,4.79601416280685e-06,2.75184009244291e-06
-3.953125,-1.19891973017748e-06,-1.13197609709666e-06,-1.15970132868934e-06,-1.1770520658936e-06,1.03012346600017e-05,6.03489739243347e-06,3.36497932495594e-06
-3.9375,-1.58035884138685e-06,-1.50834106851702e-06,-1.54017883767301e-06,-1.55917844979914e-06,1.10820393797133e-05,6.1828680017448e-06,3.25922233220151e-06
-3.921875,-1.95217900283969e-06,-1.88465005174345e-06,-1.91776673401278e-06,-1.9361275398209e-06,1.03913029450656e-05,5.29533340297017e-06,2.46998675726578e-06
-3.90625,-2.31767664934348e-06,-2.26157338366363e-06,-2.29393368501128e-06,-2.30999562846513e-06,8.63312727982203e-06,3.65354905095681e-06,1.18194957242138e-06
-3.890625,-2.68184699925072e-06,-2.639952989164e-06,-2.67077857772954e-06,-2.68386587149886e-06,6.44661798129063e-06,1.7032001724174e-06,-3.10662505448135e-07
-3.875,-3.05042815260432e-06,-3.02068756790197e-06,-3.05066297077778e-06,-3.06123816443307e-06,4.57645825069852e-06,-3.61336395411596e-08,-1.66343628812232e-06
-3.859375,-3.4288200135172e-06,-3.40460717883343e-06,-3.43580037611879e-06,-3.44539310012845e-06,3.72585233849144e-06,-1.07413281684447e-06,-2.55025379361934e-06
-3.84375,-3.82103213321936e-06,-3.79234743735101e-06,-3.82785249193112e-06,-3.83877544466238e-06,4.41397889077651e-06,-1.04951154160474e-06,-2.73032708875184e-06
-3.828125,-4.2288095320688e-06,-4.1842236002882e-06,-4.22757465322826e-06,-4.2424720985943e-06,6.86084881667917e-06,1.90022204167991e-07,-2.10238520617976e-06
-3.8125,-4.65109723508559e-06,-4.58010302537236e-06,-4.63456012163638e-06,-4.65586649023953e-06,1.09245342701135e-05,2.5447182711716e-06,-7.33889307065477e-07
-3.796875,-5.08401371367728e-06,-4.97930379589876e-06,-5.04715859922612e-06,-5.0765739148265e-06,1.61126814399771e-05,5.6712366047457e-06,1.14483051274806e-06
-3.78125,-5.52145539500658e-06,-5.38059000830874e-06,-5.46265615529404e-06,-5.5007585976132e-06,2.16762571295506e-05,9.04798168598433e-06,3.1848072303195e-06
-3.765625,-5.95630153538701e-06,-5.78233387487592e-06,-5.87775345642161e-06,-5.92385074498654e-06,2.67700095095305e-05,1.20869178483034e-05,4.99350261456739e-06
-3.75,-6.38196643787024e-06,-6.18284398672335e-06,-6.28926422788753e-06,-6.34152891512989e-06,3.06408093038854e-05,1.4264944619598e-05,6.22249483105575e-06
-3.734375,-6.79388021663277e-06,-6.58076524547582e-06,-6.69484452398883e-06,-6.75070040401332e-06,3.27939674979498e-05,1.52395360498186e-05,6.64447628396361e-06
-3.71875,-7.19048807117205e-06,-6.97541658335887e-06,-7.09353795914247e-06,-7.15019791896044e-06,3.30950347729757e-05,1.49186085123939e-05,6.1998175676829e-06
-3.703125,-7.57354159624642e-06,-7.36697265415038e-06,-7.48599962491779e-06,-7.5410256033367e-06,3.17866695915713e-05,1.34708910728906e-05,5.00353592643519e-06
-3.6875,-7.9476969818862e-06,-7.75646997709121e-06,-7.87438277534079e-06,-7.92614988831249e-06,2.94258641048663e-05,1.1281533594453e-05,3.31565015116186e-06
-3.671875,-8.31960520217869e-06,-8.14566995882367e-06,-8.26196388653468e-06,-8.30994777114145e-06,2.67650211825405e-05,8.86980122281801e-06,1.48607804430375e-06
